0,284361514023141
1,279721003754701
2,8283
3,7540
4,8076
5,8534
6,8873
7,291108866028671
8,2496879363741728
9,2382881214934004
10,290890031093330
11,285141723381032
12,293033634277448
13,293968248182108
14,295441677125522
15,293715287699109
16,300719108933705
17,293907849343751
18,296239372712718
19,293440623496170
20,290437181624331
21,287744078087950
22,283925897440789
23,286620218516398
24,296374293254363
25,298524016428895
26,291232518227564
27,288883423776629
28,286787836752252
29,292144582406874
