0,288464881331718
1,290145429752762
2,297295059207657
3,2399776434102488
4,2448437832516128
5,291555551581723
6,294823040228705
7,8743
8,8917
9,8488
10,8440
11,9000
12,295083014296033
13,291202883560194
14,288537664577375
15,290970243539031
16,282545829793094
17,294396116931740
18,293185834001647
19,293348107826370
20,297922532437602
21,285280940429258
22,285198331857150
23,295903223160925
24,289703332921093
25,289737430803757
26,286195223363340
27,283030217349386
28,288402232875039
29,292025856938074
