0,9755
1,7740
2,8195
3,8345
4,8640
5,8165
6,8780
7,9490
8,9225
9,8695
10,8925
11,9380
12,8045
13,8780
14,7795
15,8315
16,8620
17,8980
18,9225
19,434970
20,435080
21,8540
22,0
23,0
24,0
25,0
26,0
27,8785
28,9115
29,8435
